
  ⟡ skillreaper — evidence-based pruning for your agent stack

  window:  last 30 days · 34 sessions

  ╔════════════════════════════════════════════════════════════════════╗
  ║  371 items never used · ~22720 dead tokens/session · ~$2.32/month  ║
  ╚════════════════════════════════════════════════════════════════════╝
  a floor, not a total: 11 unused items (MCP servers, hooks) carry weight that was never measured

  ⟡ utilization 1%  —  7/378 items fired · ~278/22998 tok touched (30d)

  ── SKILLS (description injected every session) ────────────────────────────────────────────────────────────
      ▸ reap  292 items · ~21415 tok/session
NAME                  TOK          SRC  PERM  USES  LAST   JUDGMENT
import-timesheet      ~185  ▰▰▰▰▰  own  all   0     never  REAP · unused
render-playlist       ~185  ▰▰▰▰▰  own  all   0     never  REAP · unused
review-sitemap        ~177  ▰▰▰▰▱  own  all   0     never  REAP · unused
deploy-dataset        ~163  ▰▰▰▰▱  own  all   0     never  REAP · unused
validate-manifest     ~159  ▰▰▰▰▱  own  all   0     never  REAP · unused
parse-contract        ~157  ▰▰▰▰▱  own  all   0     never  REAP · unused
extract-receipt       ~149  ▰▰▰▰▱  own  all   0     never  REAP · unused
sync-changelog        ~145  ▰▰▰▱▱  own  all   0     never  REAP · unused
summarise-timesheet   ~111  ▰▰▰▱▱  own  all   0     never  REAP · unused
export-timesheet      ~110  ▰▰▱▱▱  own  all   0     never  REAP · unused
render-timesheet      ~110  ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-timesheet        ~109  ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-sitemap     ~102  ▰▰▱▱▱  own  all   0     never  REAP · unused
export-sitemap        ~101  ▰▰▱▱▱  own  all   0     never  REAP · unused
render-sitemap        ~101  ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-sitemap          ~100  ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-schema      ~100  ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-report      ~99   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-report         ~98   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-schema         ~98   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-report         ~98   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-schema         ~98   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-ledger      ~98   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-schema           ~97   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-ledger         ~96   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-report           ~96   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-ledger         ~96   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-ledger           ~95   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-receipt     ~93   ▰▰▱▱▱  own  all   0     never  REAP · unused
translate-timesheet   ~93   ▰▰▱▱▱  own  all   0     never  REAP · unused
compress-timesheet    ~92   ▰▰▱▱▱  own  all   0     never  REAP · unused
scaffold-timesheet    ~92   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-playlist    ~92   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-roster      ~92   ▰▰▱▱▱  own  all   0     never  REAP · unused
deploy-timesheet      ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-receipt        ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-roster         ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
format-timesheet      ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
parse-timesheet       ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
publish-timesheet     ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-receipt        ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-roster         ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
review-timesheet      ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-invoice     ~91   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-invoice        ~90   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-playlist       ~90   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-receipt          ~90   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-roster           ~90   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-invoice        ~90   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-changelog   ~90   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-changelog      ~89   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-invoice          ~89   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-playlist         ~89   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-changelog      ~89   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-dataset     ~89   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-dataset        ~88   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-changelog        ~88   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-dataset        ~88   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-dataset          ~87   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-manifest    ~84   ▰▰▱▱▱  own  all   0     never  REAP · unused
translate-sitemap     ~84   ▰▰▱▱▱  own  all   0     never  REAP · unused
compress-sitemap      ~83   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-manifest       ~83   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-manifest       ~83   ▰▰▱▱▱  own  all   0     never  REAP · unused
scaffold-sitemap      ~83   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-contract    ~83   ▰▰▱▱▱  own  all   0     never  REAP · unused
deploy-sitemap        ~82   ▰▰▱▱▱  own  all   0     never  REAP · unused
format-sitemap        ~82   ▰▰▱▱▱  own  all   0     never  REAP · unused
import-sitemap        ~82   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-manifest         ~82   ▰▰▱▱▱  own  all   0     never  REAP · unused
parse-sitemap         ~82   ▰▰▱▱▱  own  all   0     never  REAP · unused
publish-sitemap       ~82   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-catalog     ~82   ▰▰▱▱▱  own  all   0     never  REAP · unused
compress-schema       ~81   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-contract       ~81   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-contract       ~81   ▰▰▱▱▱  own  all   0     never  REAP · unused
translate-report      ~81   ▰▰▱▱▱  own  all   0     never  REAP · unused
translate-schema      ~81   ▰▰▱▱▱  own  all   0     never  REAP · unused
compress-report       ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-catalog        ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
format-schema         ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-contract         ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
publish-schema        ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-catalog        ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
review-schema         ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
scaffold-report       ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
scaffold-schema       ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
summarise-backlog     ~80   ▰▰▱▱▱  own  all   0     never  REAP · unused
compress-ledger       ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
deploy-report         ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
deploy-schema         ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
format-report         ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
import-report         ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
import-schema         ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-catalog          ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
parse-report          ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
parse-schema          ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
publish-report        ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
review-report         ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
translate-ledger      ~79   ▰▰▱▱▱  own  all   0     never  REAP · unused
export-backlog        ~78   ▰▰▱▱▱  own  all   0     never  REAP · unused
format-ledger         ~78   ▰▰▱▱▱  own  all   0     never  REAP · unused
publish-ledger        ~78   ▰▰▱▱▱  own  all   0     never  REAP · unused
render-backlog        ~78   ▰▰▱▱▱  own  all   0     never  REAP · unused
review-ledger         ~78   ▰▰▱▱▱  own  all   0     never  REAP · unused
scaffold-ledger       ~78   ▰▰▱▱▱  own  all   0     never  REAP · unused
validate-ledger       ~78   ▰▰▱▱▱  own  all   0     never  REAP · unused
deploy-ledger         ~77   ▰▰▱▱▱  own  all   0     never  REAP · unused
import-ledger         ~77   ▰▰▱▱▱  own  all   0     never  REAP · unused
lint-backlog          ~77   ▰▰▱▱▱  own  all   0     never  REAP · unused
parse-ledger          ~77   ▰▰▱▱▱  own  all   0     never  REAP · unused
compress-receipt      ~74   ▰▰▱▱▱  own  all   0     never  REAP · unused
publish-transcript    ~74   ▰▰▱▱▱  own  all   0     never  REAP · unused
scaffold-transcript   ~74   ▰▰▱▱▱  own  all   0     never  REAP · unused
translate-receipt     ~74   ▰▰▱▱▱  own  all   0     never  REAP · unused
translate-roster      ~74   ▰▰▱▱▱  own  all   0     never  REAP · unused
compress-playlist     ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-roster       ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-transcript     ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-timesheet     ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-receipt        ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-transcript     ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-timesheet     ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-receipt       ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-receipt        ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-receipt      ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-roster       ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-invoice     ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-playlist    ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-receipt      ~73   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-timesheet       ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-changelog    ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-invoice      ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-receipt        ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-roster         ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-playlist       ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-roster         ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-receipt        ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-roster         ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-receipt         ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-roster          ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-playlist      ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-roster        ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-timesheet      ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-playlist       ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-roster         ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-invoice      ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-playlist     ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-changelog   ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-invoice      ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-playlist     ~72   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-invoice        ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-playlist       ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-invoice        ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-invoice        ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-playlist       ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-invoice         ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-playlist        ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-invoice       ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-invoice        ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-changelog    ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
sync-timesheet        ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-dataset     ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-changelog    ~71   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-dataset      ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-changelog      ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-changelog      ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-changelog      ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-changelog       ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-changelog     ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-changelog      ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-dataset      ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
validate-dataset      ~70   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-dataset        ~69   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-dataset        ~69   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-dataset         ~69   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-dataset       ~69   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-dataset        ~69   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-manifest    ~66   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-manifest     ~65   ▰▱▱▱▱  own  all   0     never  REAP · unused
scaffold-manifest     ~65   ▰▱▱▱▱  own  all   0     never  REAP · unused
translate-contract    ~65   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-contract     ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
deploy-manifest       ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
extract-sitemap       ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-manifest       ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
import-manifest       ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
migrate-sitemap       ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
parse-manifest        ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-manifest      ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
review-manifest       ~64   ▰▱▱▱▱  own  all   0     never  REAP · unused
audit-sitemap         ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
compress-catalog      ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
format-contract       ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
publish-contract      ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
resize-sitemap        ~63   ▰▱▱▱▱  own  all   0     never  REAP · unused
